Rv1603	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase(hisA)
KEGG_PATHWAY	550041914$mtu00071:Fatty acid degradation,550041915$mtu00072:Synthesis and degradation of ketone bodies,550041926$mtu00280:Valine, leucine and isoleucine degradation,550041930$mtu00310:Lysine degradation,550041938$mtu00362:Benzoate degradation,550041940$mtu00380:Tryptophan metabolism,550041963$mtu00620:Pyruvate metabolism,550041970$mtu00630:Glyoxylate and dicarboxylate metabolism,550041972$mtu00640:Propanoate metabolism,550041975$mtu00650:Butanoate metabolism,550041988$mtu00900:Terpenoid backbone biosynthesis,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042002$mtu01200:Carbon metabolism,550042004$mtu01212:Fatty acid metabolism,550042011$mtu02020:Two-component system,
PIR_SUPERFAMILY	700000168$PIRSF000429:acetyl-CoA acetyltransferase,
UP_KEYWORDS	870000010$3D-structure,870000039$Acyltransferase,870000251$Complete proteome,870000610$Isopeptide bond,870000928$Reference proteome,870001085$Transferase,870001125$Ubl conjugation,

Rv1568	adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA(bioA)
GOTERM_BP_DIRECT	300002628$GO:0009102~biotin biosynthetic process,
GOTERM_CC_DIRECT	380000294$GO:0005737~cytoplasm,
GOTERM_MF_DIRECT	460000522$GO:0004015~adenosylmethionine-8-amino-7-oxononanoate transaminase activity,460003550$GO:0030170~pyridoxal phosphate binding,460004822$GO:0042802~identical protein binding,
INTERPRO	530004923$IPR005814:Aminotransferase class-III,530004924$IPR005815:Adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA,530013059$IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,530013060$IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,530013062$IPR015424:Pyridoxal phosphate-dependent transferase,
KEGG_PATHWAY	550041984$mtu00780:Biotin metabolism,550041998$mtu01100:Metabolic pathways,
UP_KEYWORDS	870000010$3D-structure,870000063$Aminotransferase,870000141$Biotin biosynthesis,870000251$Complete proteome,870000288$Cytoplasm,870000912$Pyridoxal phosphate,870000928$Reference proteome,870000963$S-adenosyl-L-methionine,870001085$Transferase,
UP_SEQ_FEATURE	880000178$binding site:7-keto-8-aminopelargonic acid,880000179$binding site:7-keto-8-aminopelargonic acid; via carbonyl oxygen,880000476$binding site:Pyridoxal phosphate,880003409$chain:Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,880079268$helix,880079642$modified residue,880081601$region of interest:7-keto-8-aminopelargonic acid,880084873$region of interest:Pyridoxal phosphate binding,880089040$strand,880089085$turn,

Rv1530	alcohol dehydrogenase(adh)
COG_ONTOLOGY	120000010$Amino acid transport and metabolism / General function prediction only,120000073$General function prediction only,
GOTERM_MF_DIRECT	460000529$GO:0004022~alcohol dehydrogenase (NAD) activity,460001672$GO:0008270~zinc ion binding,460002784$GO:0016491~oxidoreductase activity,
INTERPRO	530001724$IPR002085:Alcohol dehydrogenase superfamily, zinc-type,530001930$IPR002328:Alcohol dehydrogenase, zinc-type, conserved site,530009466$IPR011032:GroES-like,530011120$IPR013149:Alcohol dehydrogenase, C-terminal,530011125$IPR013154:Alcohol dehydrogenase GroES-like,530013409$IPR016040:NAD(P)-binding domain,
KEGG_PATHWAY	550041906$mtu00010:Glycolysis / Gluconeogenesis,550041914$mtu00071:Fatty acid degradation,550041935$mtu00350:Tyrosine metabolism,550041967$mtu00625:Chloroalkane and chloroalkene degradation,550041968$mtu00626:Naphthalene degradation,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042005$mtu01220:Degradation of aromatic compounds,
UP_KEYWORDS	870000251$Complete proteome,870000691$Metal-binding,870000753$NAD,870000802$Oxidoreductase,870000928$Reference proteome,870001206$Zinc,
UP_SEQ_FEATURE	880027861$chain:NADP-dependent alcohol dehydrogenase C,880033681$chain:Probable alcohol dehydrogenase adh,880079606$metal ion-binding site:Zinc 1; catalytic,880079612$metal ion-binding site:Zinc 2,

Rv2428	alkyl hydroperoxide reductase subunit AhpC(ahpC)
COG_ONTOLOGY	120000095$Posttranslational modification, protein turnover, chaperones,
GOTERM_BP_DIRECT	300008997$GO:0045454~cell redox homeostasis,300010717$GO:0051409~response to nitrosative stress,300010997$GO:0052059~evasion or tolerance by symbiont of host-produced reactive oxygen species,300010998$GO:0052060~evasion or tolerance by symbiont of host-produced nitric oxide,300011127$GO:0055114~oxidation-reduction process,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000930$GO:0004601~peroxidase activity,460001953$GO:0008785~alkyl hydroperoxide reductase activity,460002784$GO:0016491~oxidoreductase activity,460004000$GO:0032843~hydroperoxide reductase activity,460006426$GO:0051920~peroxiredoxin activity,
INTERPRO	530000707$IPR000866:Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant,530010442$IPR012336:Thioredoxin-like fold,530011669$IPR013766:Thioredoxin domain,530020962$IPR024706:Peroxiredoxin, AhpC-type,
PIR_SUPERFAMILY	700000107$PIRSF000239:peroxiredoxin, AhpC type,
UP_KEYWORDS	870000010$3D-structure,870000079$Antioxidant,870000251$Complete proteome,870000317$Direct protein sequencing,870000319$Disulfide bond,870000802$Oxidoreductase,870000818$Peroxidase,870000927$Redox-active center,870000928$Reference proteome,870001024$Stress response,

Rv2181	alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase(Rv2181)
GOTERM_BP_DIRECT	300002586$GO:0008654~phospholipid biosynthetic process,300002697$GO:0009247~glycolipid biosynthetic process,300002753$GO:0009405~pathogenesis,300009530$GO:0046488~phosphatidylinositol metabolic process,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460000007$GO:0000026~alpha-1,2-mannosyltransferase activity,460002902$GO:0016758~transferase activity, transferring hexosyl groups,
INTERPRO	530015601$IPR018584:Protein of unknown function DUF2029,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000438$Glycosyltransferase,870000653$Lipid biosynthesis,870000656$Lipid metabolism,870000683$Membrane,870000836$Phospholipid biosynthesis,870000838$Phospholipid metabolism,870000928$Reference proteome,870001085$Transferase,870001092$Transmembrane,870001094$Transmembrane helix,870001183$Virulence,

Rv3168	aminoglycoside phosphotransferase(Rv3168)
COG_ONTOLOGY	120000073$General function prediction only,
GOTERM_BP_DIRECT	300009625$GO:0046677~response to antibiotic,
GOTERM_MF_DIRECT	460001536$GO:0005524~ATP binding,460002737$GO:0016301~kinase activity,460002885$GO:0016740~transferase activity,460005313$GO:0046872~metal ion binding,
INTERPRO	530002128$IPR002575:Aminoglycoside phosphotransferase,530009446$IPR011009:Protein kinase-like domain,
UP_KEYWORDS	870000010$3D-structure,870000077$Antibiotic resistance,870000104$ATP-binding,870000251$Complete proteome,870000620$Kinase,870000670$Magnesium,870000691$Metal-binding,870000786$Nucleotide-binding,870000928$Reference proteome,870001085$Transferase,

Rv1609	anthranilate synthase component I(trpE)
GOTERM_BP_DIRECT	300000058$GO:0000162~tryptophan biosynthetic process,300002584$GO:0008652~cellular amino acid biosynthetic process,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000454$GO:0005950~anthranilate synthase complex,
GOTERM_MF_DIRECT	460000058$GO:0000287~magnesium ion binding,460000553$GO:0004049~anthranilate synthase activity,
INTERPRO	530004417$IPR005256:Anthranilate synthase component I, PabB-like,530004913$IPR005801:ADC synthase,530005806$IPR006805:Anthranilate synthase component I, N-terminal,530013307$IPR015890:Chorismate binding, C-terminal,530016851$IPR019999:Anthranilate synthase component I,
KEGG_PATHWAY	550041941$mtu00400:Phenylalanine, tyrosine and tryptophan biosynthesis,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042006$mtu01230:Biosynthesis of amino acids,
UP_KEYWORDS	870000059$Amino-acid biosynthesis,870000092$Aromatic amino acid biosynthesis,870000251$Complete proteome,870000667$Lyase,870000670$Magnesium,870000691$Metal-binding,870000928$Reference proteome,870001112$Tryptophan biosynthesis,
UP_SEQ_FEATURE	880004629$chain:Anthranilate synthase component 1,

Rv1494	antitoxin MazE4(mazE4)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063586$chain:Uncharacterized protein Rv1494/MT1541,880087857$sequence conflict,

Rv2865	antitoxin RelF(relF)
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,300009271$GO:0045927~positive regulation of growth,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460007210$GO:0097351~toxin-antitoxin pair type II binding,
INTERPRO	530005484$IPR006442:Type II toxin-antitoxin system, antitoxin Phd/YefM,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870000937$Repressor,870001077$Transcription,870001079$Transcription regulation,

Rv0064A	antitoxin VapB1(vapB1)
GOTERM_BP_DIRECT	300001494$GO:0006355~regulation of transcription, DNA-templated,
INTERPRO	530009429$IPR010985:Ribbon-helix-helix,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2009	antitoxin VapB15(vapB15)
GOTERM_BP_DIRECT	300000360$GO:0001666~response to hypoxia,300009271$GO:0045927~positive regulation of growth,
GOTERM_MF_DIRECT	460005313$GO:0046872~metal ion binding,
INTERPRO	530016173$IPR019239:Protein of unknown function DUF2191,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000670$Magnesium,870000674$Manganese,870000691$Metal-binding,870000928$Reference proteome,
UP_SEQ_FEATURE	880063639$chain:Uncharacterized protein Rv2009/MT2064.1,

Rv2526	antitoxin VapB17(vapB17)
INTERPRO	530016173$IPR019239:Protein of unknown function DUF2191,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2862A	antitoxin VapB23(vapB23)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0748	antitoxin VapB31(vapB31)
GOTERM_BP_DIRECT	300001494$GO:0006355~regulation of transcription, DNA-templated,300009271$GO:0045927~positive regulation of growth,
INTERPRO	530001774$IPR002145:Ribbon-helix-helix protein, copG,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1241	antitoxin VapB33(vapB33)
GOTERM_BP_DIRECT	300009271$GO:0045927~positive regulation of growth,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2595	antitoxin VapB40(vapB40)
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
INTERPRO	530006105$IPR007159:AbrB-like domain,
SMART	790000850$SM00966:SM00966,
UP_KEYWORDS	870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,
UP_SEQ_FEATURE	880063723$chain:Uncharacterized protein Rv2595/MT2671.1,

Rv2601A	antitoxin VapB41(vapB41)
COG_ONTOLOGY	120000073$General function prediction only,
GOTERM_BP_DIRECT	300001494$GO:0006355~regulation of transcription, DNA-templated,300009271$GO:0045927~positive regulation of growth,
INTERPRO	530009429$IPR010985:Ribbon-helix-helix,530011267$IPR013321:Arc-type ribbon-helix-helix,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3794	arabinosyltransferase A(embA)
GOTERM_BP_DIRECT	300007714$GO:0040007~growth,300009625$GO:0046677~response to antibiotic,300012874$GO:0071555~cell wall organization,300012966$GO:0071766~Actinobacterium-type cell wall biogenesis,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,380000408$GO:0005887~integral component of plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460006485$GO:0052636~arabinosyltransferase activity,
INTERPRO	530006579$IPR007680:Mycobacterial cell wall arabinan synthesis protein,530023285$IPR027451:Arabinofuranosyltransferase N-terminal domain,
UP_KEYWORDS	870000077$Antibiotic resistance,870000190$Cell membrane,870000195$Cell wall biogenesis/degradation,870000251$Complete proteome,870000438$Glycosyltransferase,870000683$Membrane,870000928$Reference proteome,870001085$Transferase,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880033796$chain:Probable arabinosyltransferase A,880087857$sequence conflict,880087858$sequence variant,880089084$transmembrane region,

Rv3841	bacterioferritin BfrB(bfrB)
GOTERM_BP_DIRECT	300000360$GO:0001666~response to hypoxia,300001858$GO:0006826~iron ion transport,300001898$GO:0006879~cellular iron ion homeostasis,300001899$GO:0006880~intracellular sequestering of iron ion,300006312$GO:0033214~iron assimilation by chelation and transport,300010717$GO:0051409~response to nitrosative stress,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,380000224$GO:0005623~cell,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000700$GO:0004322~ferroxidase activity,460001525$GO:0005506~iron ion binding,460001643$GO:0008199~ferric iron binding,
INTERPRO	530001257$IPR001519:Ferritin,530007119$IPR008331:Ferritin/DPS protein domain,530007724$IPR009040:Ferritin- like diiron domain,530007751$IPR009078:Ferritin-like superfamily,530010451$IPR012347:Ferritin-related,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000317$Direct protein sequencing,870000604$Iron,870000605$Iron storage,870000691$Metal-binding,870000802$Oxidoreductase,870000928$Reference proteome,

Rv1442	biotin sulfoxide reductase BisC(bisC)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,
GOTERM_MF_DIRECT	460002784$GO:0016491~oxidoreductase activity,460003543$GO:0030151~molybdenum ion binding,
INTERPRO	530005675$IPR006656:Molybdopterin oxidoreductase,530005676$IPR006657:Molydopterin dinucleotide-binding domain,530005677$IPR006658:Molybdopterin guanine dinucleotide-containing S/N-oxide reductase,530007699$IPR009010:Aspartate decarboxylase-like domain,
KEGG_PATHWAY	550041984$mtu00780:Biotin metabolism,550041998$mtu01100:Metabolic pathways,
UP_KEYWORDS	870000251$Complete proteome,870000691$Metal-binding,870000928$Reference proteome,

Rv2641	cadmium inducible protein CadI(cadI)
GOTERM_BP_DIRECT	300009630$GO:0046686~response to cadmium ion,
INTERPRO	530003604$IPR004360:Glyoxalase/fosfomycin resistance/dioxygenase domain,
UP_KEYWORDS	870000251$Complete proteome,870000317$Direct protein sequencing,870000928$Reference proteome,
UP_SEQ_FEATURE	880007294$chain:Cadmium-induced protein cadI,

Rv0654	carotenoid cleavage oxygenase(Rv0654)
COG_ONTOLOGY	120000104$Secondary metabolites biosynthesis, transport, and catabolism,
GOTERM_BP_DIRECT	300004168$GO:0016118~carotenoid catabolic process,
GOTERM_MF_DIRECT	460002278$GO:0010436~carotenoid dioxygenase activity,460002861$GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,460005313$GO:0046872~metal ion binding,
INTERPRO	530003545$IPR004294:Carotenoid oxygenase,
UP_KEYWORDS	870000251$Complete proteome,870000315$Dioxygenase,870000604$Iron,870000691$Metal-binding,870000802$Oxidoreductase,870000928$Reference proteome,

Rv1997	cation transporter ATPase F(ctpF)
COG_ONTOLOGY	120000075$Inorganic ion transport and metabolism,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,380000408$GO:0005887~integral component of plasma membrane,380000668$GO:0016021~integral component of membrane,380001588$GO:0043231~intracellular membrane-bounded organelle,
GOTERM_MF_DIRECT	460000031$GO:0000166~nucleotide binding,460001488$GO:0005388~calcium-transporting ATPase activity,460001536$GO:0005524~ATP binding,460005313$GO:0046872~metal ion binding,
INTERPRO	530001456$IPR001757:Cation-transporting P-type ATPase,530003294$IPR004014:Cation-transporting P-type ATPase, N-terminal,530005150$IPR006068:Cation-transporting P-type ATPase, C-terminal,530007057$IPR008250:P-type ATPase, A  domain,530015399$IPR018303:P-type ATPase, phosphorylation site,530019663$IPR023214:HAD-like domain,530019736$IPR023298:P-type ATPase,  transmembrane domain,530019737$IPR023299:P-type ATPase, cytoplasmic domain N,
SMART	790000716$SM00831:SM00831,
UP_KEYWORDS	870000104$ATP-binding,870000190$Cell membrane,870000251$Complete proteome,870000516$Hydrolase,870000670$Magnesium,870000683$Membrane,870000691$Metal-binding,870000786$Nucleotide-binding,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880000003$active site:4-aspartylphosphate intermediate,880034059$chain:Probable cation-transporting ATPase F,880079503$metal ion-binding site:Magnesium,880089084$transmembrane region,

Rv3810	cell surface protein(pirG)
GOTERM_BP_DIRECT	300002753$GO:0009405~pathogenesis,300008619$GO:0044119~growth of symbiont in host cell,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530007011$IPR008164:Repeat of unknown function XGLTT,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870000935$Repeat,870000992$Signal,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880015176$chain:Exported repetitive protein,880081520$region of interest:6 X 5 AA approximate tandem repeats of P- [ATG]-[LG]-X-X,880081523$region of interest:6 X 5 AA tandem repeats of P-[GA]-L-T-S,880085748$repeat:1-1,880085764$repeat:1-2,880085776$repeat:1-3,880085786$repeat:1-4,880085789$repeat:1-5,880085792$repeat:1-6,880085936$repeat:2-1,880085953$repeat:2-2,880085968$repeat:2-3,880085977$repeat:2-4,880085979$repeat:2-5,880085982$repeat:2-6,880087857$sequence conflict,880087858$sequence variant,880088358$signal peptide,880089042$topological domain:Cytoplasmic,880089048$topological domain:Extracellular,880089084$transmembrane region,

Rv0062	cellulase CelA(celA1)
GOTERM_BP_DIRECT	300005228$GO:0030245~cellulose catabolic process,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460001977$GO:0008810~cellulase activity,
INTERPRO	530013610$IPR016288:1, 4-beta cellobiohydrolase,
KEGG_PATHWAY	550041951$mtu00500:Starch and sucrose metabolism,550041998$mtu01100:Metabolic pathways,
PIR_SUPERFAMILY	700000369$PIRSF001100:1,4-beta cellobiohydrolase,
UP_KEYWORDS	870000010$3D-structure,870000173$Carbohydrate metabolism,870000197$Cellulose degradation,870000251$Complete proteome,870000436$Glycosidase,870000516$Hydrolase,870000683$Membrane,870000865$Polysaccharide degradation,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv1665	chalcone synthase(pks11)
COG_ONTOLOGY	120000104$Secondary metabolites biosynthesis, transport, and catabolism,
GOTERM_BP_DIRECT	300001711$GO:0006633~fatty acid biosynthetic process,300002565$GO:0008610~lipid biosynthetic process,300002594$GO:0009058~biosynthetic process,300002874$GO:0009715~chalcone biosynthetic process,300012969$GO:0071770~DIM/DIP cell wall layer assembly,
GOTERM_MF_DIRECT	460002891$GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups,
INTERPRO	530000899$IPR001099:Chalcone/stilbene synthase, N-terminal,530009554$IPR011141:Polyketide synthase, type III,530010437$IPR012328:Chalcone/stilbene synthase, C-terminal,530013408$IPR016039:Thiolase-like,
PIR_SUPERFAMILY	700000178$PIRSF000451:type III polyketide synthase,
UP_KEYWORDS	870000010$3D-structure,870000039$Acyltransferase,870000251$Complete proteome,870000378$Fatty acid metabolism,870000656$Lipid metabolism,870000928$Reference proteome,870001085$Transferase,

Rv0896	citrate synthase 1(gltA2)
GOTERM_BP_DIRECT	300001327$GO:0006099~tricarboxylic acid cycle,
GOTERM_CC_DIRECT	380000294$GO:0005737~cytoplasm,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000606$GO:0004108~citrate (Si)-synthase activity,
INTERPRO	530001671$IPR002020:Citrate synthase-like,530009402$IPR010953:Citrate synthase, type II,530013484$IPR016142:Citrate synthase-like, large alpha subdomain,530013485$IPR016143:Citrate synthase-like, small alpha subdomain,530016679$IPR019810:Citrate synthase active site,530020489$IPR024176:Citrate synthase, bacterial-type,
KEGG_PATHWAY	550041907$mtu00020:Citrate cycle (TCA cycle),550041970$mtu00630:Glyoxylate and dicarboxylate metabolism,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042002$mtu01200:Carbon metabolism,550042003$mtu01210:2-Oxocarboxylic acid metabolism,550042006$mtu01230:Biosynthesis of amino acids,
PIR_SUPERFAMILY	700000429$PIRSF001369:citrate synthase,
UP_KEYWORDS	870000010$3D-structure,870000050$Allosteric enzyme,870000251$Complete proteome,870000610$Isopeptide bond,870000928$Reference proteome,870001085$Transferase,870001107$Tricarboxylic acid cycle,870001125$Ubl conjugation,
UP_SEQ_FEATURE	880009425$chain:Citrate synthase 1,

Rv1469	cobalt/nickel-exporting P-type ATPase(ctpD)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000408$GO:0005887~integral component of plasma membrane,380000668$GO:0016021~integral component of membrane,380001588$GO:0043231~intracellular membrane-bounded organelle,
GOTERM_MF_DIRECT	460000031$GO:0000166~nucleotide binding,460001487$GO:0005385~zinc ion transmembrane transporter activity,460001536$GO:0005524~ATP binding,460002343$GO:0015086~cadmium ion transmembrane transporter activity,460003441$GO:0019829~cation-transporting ATPase activity,460005313$GO:0046872~metal ion binding,
INTERPRO	530001456$IPR001757:Cation-transporting P-type ATPase,530007057$IPR008250:P-type ATPase, A  domain,530015399$IPR018303:P-type ATPase, phosphorylation site,530019663$IPR023214:HAD-like domain,530019737$IPR023299:P-type ATPase, cytoplasmic domain N,530023121$IPR027256:Cation-transporting P-type ATPase, subfamily IB,
UP_KEYWORDS	870000104$ATP-binding,870000190$Cell membrane,870000239$Cobalt,870000251$Complete proteome,870000516$Hydrolase,870000670$Magnesium,870000683$Membrane,870000691$Metal-binding,870000769$Nickel,870000786$Nucleotide-binding,870000841$Phosphoprotein,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880000003$active site:4-aspartylphosphate intermediate,880034068$chain:Probable cation-transporting P-type ATPase D,880079503$metal ion-binding site:Magnesium,880089084$transmembrane region,

Rv1901	competence damage-inducible protein CinA(cinA)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
INTERPRO	530001202$IPR001453:Molybdopterin binding domain,530006989$IPR008135:Competence-induced protein CinA,530006990$IPR008136:CinA, C-terminal,
KEGG_PATHWAY	550041982$mtu00760:Nicotinate and nicotinamide metabolism,
PIR_SUPERFAMILY	700001154$PIRSF006728:competence protein CinA,
SMART	790000737$SM00852:SM00852,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880009397$chain:CinA-like protein,

Rv0967	copper-sensing transcriptional repressor CsoR(csoR)
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,300003252$GO:0010272~response to silver ion,300009632$GO:0046688~response to copper ion,
GOTERM_CC_DIRECT	380000294$GO:0005737~cytoplasm,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460001526$GO:0005507~copper ion binding,460005313$GO:0046872~metal ion binding,460007184$GO:0097077~copper ion sensor activity,
INTERPRO	530003052$IPR003735:Metal-sensitive transcriptional repressor,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000264$Copper,870000288$Cytoplasm,870000331$DNA-binding,870000691$Metal-binding,870000928$Reference proteome,870000937$Repressor,870001077$Transcription,870001079$Transcription regulation,
UP_SEQ_FEATURE	880010356$chain:Copper-sensing transcriptional repressor csoR,880079268$helix,880079365$metal ion-binding site:Copper,880079391$metal ion-binding site:Copper; shared with dimeric partner,880079643$mutagenesis site,880089085$turn,

Rv3109	cyclic pyranopterin monophosphate synthase(moaA1)
COG_ONTOLOGY	120000046$Coenzyme metabolism,
GOTERM_BP_DIRECT	300001822$GO:0006777~Mo-molybdopterin cofactor biosynthetic process,300005893$GO:0032324~molybdopterin cofactor biosynthetic process,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000739$GO:0019008~molybdopterin synthase complex,
GOTERM_MF_DIRECT	460001537$GO:0005525~GTP binding,460005313$GO:0046872~metal ion binding,460006372$GO:0051539~4 iron, 4 sulfur cluster binding,460006724$GO:0061597~cyclic pyranopterin monophosphate synthase activity,
INTERPRO	530000303$IPR000385:MoaA/nifB/pqqE, iron-sulphur binding, conserved site,530005662$IPR006638:Elongator protein 3/MiaB/NifB,530006140$IPR007197:Radical SAM,530009023$IPR010505:Molybdenum cofactor synthesis C-terminal,530011412$IPR013483:Molybdenum cofactor biosynthesis protein A,530011680$IPR013785:Aldolase-type TIM barrel,
KEGG_PATHWAY	550041986$mtu00790:Folate biosynthesis,550041998$mtu01100:Metabolic pathways,550042024$mtu04122:Sulfur relay system,
SMART	790000624$SM00729:Elp3,
UP_KEYWORDS	870000013$4Fe-4S,870000251$Complete proteome,870000451$GTP-binding,870000604$Iron,870000607$Iron-sulfur,870000667$Lyase,870000691$Metal-binding,870000734$Molybdenum cofactor biosynthesis,870000786$Nucleotide-binding,870000928$Reference proteome,870000963$S-adenosyl-L-methionine,
UP_SEQ_FEATURE	880000361$binding site:GTP,880000487$binding site:S-adenosyl-L-methionine,880000497$binding site:S-adenosyl-L-methionine; via amide nitrogen and carbonyl oxygen,880000498$binding site:S-adenosyl-L-methionine; via carbonyl oxygen,880026700$chain:Molybdenum cofactor biosynthesis protein A 1,880079480$metal ion-binding site:Iron-sulfur 1 (4Fe-4S-S-AdoMet),880079489$metal ion-binding site:Iron-sulfur 2 (4Fe-4S-substrate),880082637$region of interest:GTP binding,

Rv3121	cytochrome P450 Cyp141(cyp141)
COG_ONTOLOGY	120000104$Secondary metabolites biosynthesis, transport, and catabolism,
GOTERM_BP_DIRECT	300001777$GO:0006707~cholesterol catabolic process,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460000845$GO:0004497~monooxygenase activity,460001525$GO:0005506~iron ion binding,460001715$GO:0008395~steroid hydroxylase activity,460002862$GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,460003490$GO:0020037~heme binding,460004633$GO:0036199~cholest-4-en-3-one 26-monooxygenase activity,
INTERPRO	530000922$IPR001128:Cytochrome P450,530001981$IPR002397:Cytochrome P450, B-class,530015140$IPR017972:Cytochrome P450, conserved site,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000459$Heme,870000604$Iron,870000683$Membrane,870000691$Metal-binding,870000736$Monooxygenase,870000802$Oxidoreductase,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880041928$chain:Putative cytochrome P450 141,880079428$metal ion-binding site:Iron (heme axial ligand),880087857$sequence conflict,880089084$transmembrane region,

Rv0512	delta-aminolevulinic acid dehydratase(hemB)
